label_id,label_name,acc_x_g_mean,acc_x_g_std,acc_x_g_min,acc_x_g_max,acc_x_g_rms,acc_x_g_mean_abs,acc_x_g_range,acc_x_g_mean_abs_diff,acc_x_g_std_diff,acc_x_g_zero_cross_rate,acc_y_g_mean,acc_y_g_std,acc_y_g_min,acc_y_g_max,acc_y_g_rms,acc_y_g_mean_abs,acc_y_g_range,acc_y_g_mean_abs_diff,acc_y_g_std_diff,acc_y_g_zero_cross_rate,acc_z_g_mean,acc_z_g_std,acc_z_g_min,acc_z_g_max,acc_z_g_rms,acc_z_g_mean_abs,acc_z_g_range,acc_z_g_mean_abs_diff,acc_z_g_std_diff,acc_z_g_zero_cross_rate,acc_mag_g_mean,acc_mag_g_std,acc_mag_g_min,acc_mag_g_max,acc_mag_g_rms,acc_mag_g_mean_abs,acc_mag_g_range,acc_mag_g_mean_abs_diff,acc_mag_g_std_diff,acc_mag_g_zero_cross_rate,corr_acc_x_y,corr_acc_x_z,corr_acc_y_z
5,STANDING,1.0193046,0.0017905548,1.012817,1.024606,1.0193062,1.0193046,0.011788964,0.0014374369,0.0020063394,0.38582677,-0.12426187,0.0032699981,-0.132631,-0.1172102,0.12430489,0.12426187,0.015420802,0.0017620948,0.0022392576,0.23622048,0.09973179,0.0039695995,0.08874205,0.109485,0.099810764,0.09973179,0.020742953,0.0020694823,0.0026689563,0.21259843,1.0316952,0.0019482026,1.0254638,1.036911,1.031697,1.0316952,0.011447191,0.0015012702,0.0020771814,0.35433072,-0.2997547,-0.028664583,0.052747764
5,STANDING,1.019448,0.0019319161,1.012893,1.024606,1.0194497,1.019448,0.011713028,0.0013213571,0.001708687,0.2992126,-0.12293558,0.0049301223,-0.132631,-0.1085598,0.12303439,0.12293558,0.024071202,0.0023043584,0.003005086,0.18897638,0.096939474,0.0049184873,0.08109954,0.1057878,0.097064175,0.096939474,0.024688259,0.002374147,0.0031192098,0.18110237,1.0314226,0.0020409692,1.0248896,1.036911,1.0314246,1.0314226,0.012021422,0.0014138898,0.0017987291,0.26771653,0.04904904,0.074901864,0.083924145
5,STANDING,1.0199265,0.0029039823,1.009013,1.027664,1.0199306,1.0199265,0.01865089,0.0018267687,0.0024253544,0.26771653,-0.12499678,0.006459556,-0.1371418,-0.1085598,0.12516358,0.12499678,0.028581992,0.0022840814,0.0030263448,0.11811024,0.0928968,0.0061449595,0.08109954,0.1057878,0.09309981,0.0928968,0.024688259,0.0027815427,0.0034426018,0.20472442,1.0317867,0.0029263978,1.0216721,1.0394713,1.0317907,1.0317867,0.017799139,0.0018431164,0.0024077778,0.28346458,-0.12437462,-0.207159,0.57393485
5,STANDING,1.020349,0.0025741346,1.009013,1.027664,1.0203522,1.020349,0.01865089,0.0014694047,0.0021371876,0.25984251,-0.13049272,0.004028792,-0.1435455,-0.1167494,0.13055488,0.13049272,0.026796095,0.0018164489,0.0023394548,0.28346458,0.08765392,0.0049450626,0.07688773,0.09873661,0.0877933,0.08765392,0.02184888,0.002380507,0.0029162744,0.18110237,1.0324072,0.002554386,1.0216721,1.0394713,1.0324103,1.0324072,0.017799139,0.0014858058,0.0021079755,0.25984251,-0.15993342,-0.24548285,0.538551
5,STANDING,1.0202554,0.0019486474,1.013645,1.026194,1.0202572,1.0202554,0.0125489235,0.001213789,0.0015771838,0.23622048,-0.13020888,0.0038759084,-0.1435455,-0.1214556,0.13026656,0.13020888,0.022089891,0.0017347885,0.002241913,0.23622048,0.084998876,0.0036367094,0.07459499,0.09338777,0.08507664,0.084998876,0.018792778,0.0024539013,0.0030659973,0.2913386,1.0320504,0.0020273905,1.0252596,1.038261,1.0320524,1.0320504,0.013001442,0.0012602647,0.0016466042,0.2519685,-0.12654541,-0.10372778,0.17119549
5,STANDING,1.0201774,0.002267627,1.013645,1.026194,1.02018,1.0201774,0.0125489235,0.0013493581,0.0018101555,0.20472442,-0.12627476,0.0042173993,-0.1368123,-0.1181566,0.12634517,0.12627476,0.018655702,0.001727472,0.002213997,0.13385826,0.0858448,0.0038772624,0.07459499,0.09525821,0.085932314,0.0858448,0.020663224,0.002421387,0.0030928825,0.21259843,1.0315566,0.002357083,1.0252596,1.038261,1.0315593,1.0315566,0.013001442,0.0014123269,0.0018839199,0.23622048,-0.21626735,-0.17404343,0.31759587
5,STANDING,1.0206289,0.002430583,1.014804,1.027167,1.0206319,1.0206289,0.012362957,0.0012966545,0.0017596863,0.18110237,-0.12735727,0.006275146,-0.1475441,-0.1174678,0.12751177,0.12735727,0.030076303,0.002035662,0.0026184968,0.16535433,0.0854447,0.0054644775,0.06887585,0.09984689,0.085619256,0.0854447,0.030971043,0.0026047747,0.0036115684,0.18110237,1.0321206,0.0025355062,1.0258049,1.0403526,1.0321237,1.0321206,0.014547706,0.0013379619,0.0017702434,0.19685039,-0.1386735,-0.15822856,0.5451838
5,STANDING,1.0206099,0.002416828,1.014804,1.027167,1.0206127,1.0206099,0.012362957,0.0014003731,0.0017490681,0.19685039,-0.13546711,0.0074833934,-0.150936,-0.1174678,0.13567364,0.13546711,0.033468194,0.0023635302,0.002985152,0.11023622,0.07896619,0.007028493,0.0662862,0.09984689,0.079278365,0.07896619,0.033560693,0.0023081345,0.0033478222,0.11811024,1.0326357,0.0025144871,1.0265306,1.0405611,1.0326388,1.0326357,0.014030457,0.0014464451,0.0017471954,0.19685039,0.059558492,0.11442668,0.65888125
5,STANDING,1.020574,0.002119155,1.014837,1.027036,1.0205761,1.020574,0.012198925,0.0012497057,0.0015620274,0.22047244,-0.1385431,0.004874376,-0.1520718,-0.1272049,0.13862883,0.1385431,0.024866909,0.002390767,0.0031013945,0.18110237,0.07401287,0.0036335655,0.0662862,0.08334509,0.07410201,0.07401287,0.017058894,0.0018295428,0.0024920225,0.18897638,1.032608,0.0023310895,1.027388,1.0405611,1.0326107,1.032608,0.013173103,0.0013437553,0.001679745,0.22047244,-0.2842061,-0.17533109,0.14231116
5,STANDING,1.0212078,0.0030478658,1.01161,1.02821,1.0212123,1.0212078,0.016600013,0.0017357388,0.0023637747,0.18897638,-0.13428447,0.006816302,-0.1520718,-0.1184379,0.13445735,0.13428447,0.033633903,0.0033021735,0.0042710383,0.22834645,0.074693665,0.005460919,0.05868553,0.08763644,0.07489302,0.074693665,0.028950911,0.0025290991,0.0035811902,0.15748031,1.0327406,0.003048818,1.0236142,1.0390154,1.032745,1.0327406,0.015401244,0.00176273,0.0023397536,0.18897638,-0.10003042,-0.41031837,0.40532026
